ID_Sankce,ID_kontroly,Vyse_pokuty,Zákon,Paragraf,Datum_nabyti_Pravni_Moci
62521,311209260605704,100000,Zák. 311/2006,§9/1b),12/18/2012
62522,311211020605101,3000,Zák. 634/1992,§5/1c),12/20/2012
62523,311211060605101,5000,Zák. 634/1992,"§5/1a), §13",12/20/2012
62524,311211060605102,3000,Zák. 634/1992,§5/1a),12/20/2012
62525,311210240604101,3000,Zák. 634/1992,"§19/1,3",12/22/2012
62526,311208290601801,8000,Zák. 634/1992,§5/2,12/27/2012
62527,311210160014602,2000,Zák. 634/1992,§12/1,12/27/2012
62528,311210250602603,3000,Zák. 634/1992,"§5/1a), §13",12/28/2012
62529,311203280605102,20000,Zák. 552/1991,§19/1,12/28/2012
62530,401212180558101,1000,Zák. 634/1992,§ 10/1a),12/18/2012
62531,221212170253602,1000,Zák. 634/1992,"§ 10 ods.1 a,",12/17/2012
62532,221212200253601,1000,Zák. 634/1992,"§ 16 ods.1,",12/20/2012
62533,221212170253401,1000,Zák. 634/1992,"§ 11 ods.1,",12/17/2012
62534,221212170253402,1000,Zák. 634/1992,"§ 12 ods.1,",12/17/2012
62535,271211140030701,5000,Zák. 634/1992,§3c,12/19/2012
62536,271211220006303,3000,Zák. 634/1992,§3c,12/14/2012
62537,271208160506502,1000,Zák. 64/1986,§9/1/a,12/12/2012
62538,271205110305001,1000,Zák. 634/1992,§15/3,12/22/2012
62539,271211200005102,10000,Zák. 634/1992,§3c,12/31/2012
62540,271208280308901,4000,Zák. 634/1992,§19/1,11/24/2012
62541,271208270005101,2000,Zák. 634/1992,§11/1,11/24/2012
62542,271207310308901,1000,Zák. 634/1992,§12/1,12/7/2012
62543,271208040505501,1000,Zák. 64/1986,§9/1/a,12/7/2012
62544,221212130205701,1000,Zák. 634/1992,"§ 13,",12/13/2012
62545,401212060550301,1000,Zák. 634/1992,§ 19/1,12/6/2012
62547,401212130803701,2000,Zák. 634/1992,§ 5/1a)+c),12/13/2012
62548,311210170602001,2000,Zák. 634/1992,§12/1,12/5/2012
62549,311210170602001,2000,Zák. 477/2001,§9/10,12/5/2012
62550,311209120605803,450000,Zák. 311/2006,"§9/1b), §9/4b)",12/28/2012
62551,401209240803701,5000,Zák. 552/1991,§14,12/6/2012
62554,211209110027302,5000,Zák. 634/1992,§12/1,12/13/2012
62555,401212140803701,2000,Zák. 634/1992,"§ 5/1c), § 12/1",12/14/2012
62557,211210230103501,8000,Zák. 634/1992,§9/1;13,12/14/2012
62558,211211150009901,10000,Zák. 634/1992,§3c,12/15/2012
62559,401206200558301,30000,Zák. 634/1992,"§3c),12/1",10/19/2012
62561,211211070103501,5000,Zák. 634/1992,§19/3,12/19/2012
62562,211210250019902,2000,Zák. 634/1992,§10/1a,12/19/2012
62563,211211280009902,15000,Zák. 634/1992,§12/1,12/20/2012
62564,211210250154201,5000,Zák. 634/1992,§10/1a;11/1,12/28/2012
62565,211209120006701,10000,Zák. 634/1992,§5/1c;4/3,12/28/2012
62566,211210240009901,10000,Zák. 634/1992,§11/1,12/28/2012
62567,401208220013001,5000,Zák. 634/1992,§11,12/8/2012
62569,211206130105901,0,Zák. 634/1992,§5/1c,12/16/2012
62570,211210190105901,0,Zák. 634/1992,§5/1a,12/11/2012
62571,211205270153501,0,Zák. 634/1992,"§4/3,5/2",9/22/2012
62572,211205270104401,0,Zák. 634/1992,"§4/3,5/2",9/22/2012
62573,401212190602504,1000,Zák. 634/1992,§  24/1d),12/19/2012
62574,211205270104101,0,Zák. 634/1992,"§4/3,5/2",9/22/2012
62575,211205270150701,0,Zák. 634/1992,"§4/3,5/2",9/22/2012
62576,211205160104403,0,Zák. 634/1992,"§4/3,5/2",9/22/2012
62577,211204070104402,0,Zák. 634/1992,"§4/3,5/2",9/22/2012
62578,401212180602501,1000,Zák. 634/1992,§ 24/1d),12/18/2012
62580,401212180556403,1000,Zák. 634/1992,§ 24/1d),12/18/2012
62581,221212200203301,500,Zák. 64/1986,"§ 9 ods.1 pís.a,",12/20/2012
62582,101210310009501,0,Zák. 102/2001,§ 7-2gh,1/30/2013
62584,101208020911201,5000,Zák. 634/1992,§ 5-1 c),1/22/2013
62585,101207170028901,10000,Zák. 634/1992,"§ 5-1 a), § 13",3/23/2013
62586,101202130021801,10000,Zák. 634/1992,§ 13,1/29/2013
62587,271212270506701,1000,Zák. 634/1992,§ 16 odst. 1,12/27/2012
62588,301211070701801,20000,Zák. 634/1992,"§3/c, §15/3",4/29/2013
62589,301210050014201,2000,Zák. 634/1992,"§5/1a,§11/1",1/12/2013
62590,301210090704401,2000,Zák. 634/1992,"§5/1a, §12/1",1/19/2013
62592,301209240014201,5000,Zák. 22/1997,§13/9,1/12/2013
62593,301211140704401,2000,Zák. 634/1992,§5/1c,1/12/2013
62594,301211060012802,2000,Zák. 634/1992,§5/1a,1/22/2013
62595,301211020009001,1500,Zák. 634/1992,§3/a,1/11/2013
62596,301211130700401,2000,Zák. 634/1992,§3/a,1/11/2013
62597,221212120203302,500,Zák. 64/1986,"§ 9 ods.1 pís.a,",12/12/2012
62598,301210180022101,0,Zák. 634/1992,"§3/c,§12/2a",2/26/2013
62599,301210240809201,35000,Zák. 634/1992,"§3/c,§12/2a",2/26/2013
62600,271212210506101,500,Zák. 634/1992,svíčky bez návodu nebo symbolů,12/21/2012
62601,311210280602002,1000,Zák. 634/1992,§10/1a),12/28/2012
62602,301210010703601,0,Zák. 634/1992,§3/c,1/12/2013
62603,301210160022101,15000,Zák. 634/1992,§3/c,1/12/2013
62604,301211140702101,1000,Zák. 634/1992,§3/a,1/11/2013
62605,301207030703601,2500,Zák. 22/1997,§13/9,1/11/2013
62606,311212200602001,1000,Zák. 64/1986,§9/1/a,12/20/2012
62607,211301020103801,3000,Zák. 634/1992,§ 19,1/2/2013
62608,101208090009402,30000,Zák. 634/1992,"§ 3a, c",1/24/2013
62610,301211090031102,1000,Zák. 64/1986,§9/1a,1/22/2013
62611,301210250009601,1000,Zák. 64/1986,§9/1 a),1/22/2013
62612,301210170022101,2000,Zák. 634/1992,§3/c,1/12/2013
62613,301211080012802,1000,Zák. 634/1992,105/13/3000,1/15/2013
62614,311207090604101,70000,Zák. 634/1992,"§12/1, §3 písm.c)",12/10/2012
62615,301211090702101,2000,Zák. 634/1992,§3/a,1/15/2013
62616,311212110605101,1000,Zák. 64/1986,§9/1/a,12/11/2012
62617,301211020703801,15000,Zák. 634/1992,"§3/c, §12/2a",1/23/2013
62618,301211160703601,1500,Zák. 634/1992,§3/c,1/16/2013
62619,311207160605101,0,Zák. 634/1992,"§ 12/1, § 3 písm.c)",12/10/2012
62620,301211150013801,1500,Zák. 634/1992,§12/1,1/23/2013
62621,301211220807101,1000,Zák. 634/1992,§3/a,1/17/2013
