ID_zakazu,ID_kontroly,Sortiment,Mnozstvi,Jednotka,Cena_celkem,Dle_zakona
69955,301201059808901,"Textil - oděvy a oděvní materiály, mimo výrobků pro děti",10,kus,4990,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69956,301201059808901,"Textil - oděvy a oděvní materiály, mimo výrobků pro děti",10,kus,4900,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69957,301201059808901,"Textil - oděvy a oděvní materiály, mimo výrobků pro děti",7,kus,1890,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69958,301201059808901,"Textil - oděvy a oděvní materiály, mimo výrobků pro děti",4,kus,1680,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69959,301201059808901,"Textil - oděvy a oděvní materiály, mimo výrobků pro děti",6,kus,1194,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69960,301201030022001,"Textil - oděvy a oděvní materiály, mimo výrobků pro děti",9,kus,3150,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69961,301201030022001,"Textil - oděvy a oděvní materiály, mimo výrobků pro děti",7,kus,2450,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69962,301201030022001,"Textil - oděvy a oděvní materiály, mimo výrobků pro děti",6,kus,1500,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69963,301201030022001,"Textil - oděvy a oděvní materiály, mimo výrobků pro děti",6,kus,1140,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69964,301201030022001,"Textil - oděvy a oděvní materiály, mimo výrobků pro děti",20,kus,1100,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69965,301201030022001,"Textil - oděvy a oděvní materiály, mimo výrobků pro děti",26,kus,910,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69966,301201040022001,Hmotnostní měřidla v OBCHODNÍM STYKU (váhy),1,kus,0,64/1986 §7 odst 1b) - Inspektorský zákaz pro neověřená MĚŘIDLA
69967,241201040405902,Hmotnostní měřidla v OBCHODNÍM STYKU (váhy),1,kus,0,64/1986 §7 odst 1b) - Inspektorský zákaz pro neověřená MĚŘIDLA
69968,211201040104402,Výrobky kožené a textilní galanterie,2,kus,498,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69969,211201040104402,Výrobky kožené a textilní galanterie,1,kus,498,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69970,211201040104402,Výrobky kožené a textilní galanterie,2,kus,798,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69971,211201040104402,Výrobky kožené a textilní galanterie,1,kus,499,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69972,301201060013801,Hmotnostní měřidla v OBCHODNÍM STYKU (váhy),1,kus,0,64/1986 §7 odst 1b) - Inspektorský zákaz pro neověřená MĚŘIDLA
69973,271201040309501,Strojní zařízení obecně (mimo zařízení pro domácnost a zahradu),2,kus,1164,"22/1997, §18a, odst.1 - inspektor.zákaz uvádění na trh, do provozu nebo distribuce výrobku po potřeb. dobu kontroly"
69974,271201040309501,Strojní zařízení obecně (mimo zařízení pro domácnost a zahradu),2,kus,719,"22/1997, §18a, odst.1 - inspektor.zákaz uvádění na trh, do provozu nebo distribuce výrobku po potřeb. dobu kontroly"
69975,401201040556402,Oděvy speciálně pro děti a kojence,7,kus,1540,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69976,401201040556402,"Textil - oděvy a oděvní materiály, mimo výrobků pro děti",4,kus,880,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69977,401201040556402,Oděvy speciálně pro děti a kojence,3,kus,570,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69978,401201040556402,"Textil - oděvy a oděvní materiály, mimo výrobků pro děti",1,kus,190,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69979,401201040556402,"Textil - oděvy a oděvní materiály, mimo výrobků pro děti",6,kus,144,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69980,401201040556402,"Textil - oděvy a oděvní materiály, mimo výrobků pro děti",4,kus,1920,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69981,271201090309201,"Výhradně pro Kontroly značení - Obuv a textil; jinak 01.091x-tex, 01.092x-obuv",4,kus,1996,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69982,271201090309201,"Výhradně pro Kontroly značení - Obuv a textil; jinak 01.091x-tex, 01.092x-obuv",4,kus,1036,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69983,271201090309201,"Výhradně pro Kontroly značení - Obuv a textil; jinak 01.091x-tex, 01.092x-obuv",6,kus,1794,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69984,271201090309201,"Výhradně pro Kontroly značení - Obuv a textil; jinak 01.091x-tex, 01.092x-obuv",8,kus,12720,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69985,401201050551201,Drobná textilní galanterie,20,kus,600,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69986,401201050551201,"Textil - oděvy a oděvní materiály, mimo výrobků pro děti",3,kus,54,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69987,401201050551201,"Textil - oděvy a oděvní materiály, mimo výrobků pro děti",10,kus,190,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69988,401201050551201,"Textil - oděvy a oděvní materiály, mimo výrobků pro děti",13,kus,221,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69989,401201050551201,"Textil - oděvy a oděvní materiály, mimo výrobků pro děti",10,kus,180,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69990,401201050551201,"Textil - oděvy a oděvní materiály, mimo výrobků pro děti",6,kus,162,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69991,401201030602502,Délková měřidla,1,kus,0,64/1986 §7 odst 1b) - Inspektorský zákaz pro neověřená MĚŘIDLA
69992,401201040557801,Délková měřidla,1,kus,0,64/1986 §7 odst 1b) - Inspektorský zákaz pro neověřená MĚŘIDLA
69993,271201050005101,Svíčky,5,kus,79.5,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69994,271201050005101,Svíčky,4,kus,103.6,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69995,271201050005101,Svíčky,4,kus,119.6,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69996,271201050005101,"Koberce, ostatní podlahové krytiny",7,kus,629.3,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69997,271201050005101,"Spotřební zboží pro domácnost (zápalky svíčky, knoty, petrolej, lepidla atd.)",106,kus,530,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69998,311201060604501,Hmotnostní měřidla v OBCHODNÍM STYKU (váhy),1,kus,0,64/1986 §7 odst 1b) - Inspektorský zákaz pro neověřená MĚŘIDLA
69999,271201060005101,"Výhradně pro Kontroly značení - Obuv a textil; jinak 01.091x-tex, 01.092x-obuv",7,kus,2380,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
70000,271201060005101,"Výhradně pro Kontroly značení - Obuv a textil; jinak 01.091x-tex, 01.092x-obuv",6,kus,1620,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
70001,271201060005101,"Výhradně pro Kontroly značení - Obuv a textil; jinak 01.091x-tex, 01.092x-obuv",21,kus,6720,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
